routeName,linkStatus,routeMapCandidateIdCount,localMentionedStopCount,maximumStationIdOverlap,selectedBmsStopRowCount,selectedBmsUniqueStopCount,selectedDirectionNames,routeMapSnapshotDate,stopOrderSnapshotDate,localStopSnapshotDate,limitation
033,unresolved_no_station_overlap,17,79,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
035,unresolved_no_station_overlap,8,39,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
036,unresolved_no_station_overlap,6,69,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
037,linked_unique_route_id,8,62,14,112,56,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
040,unresolved_no_station_overlap,1,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
041B,unresolved_no_station_overlap,0,13,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
042,unresolved_no_station_overlap,1,69,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
043,unresolved_no_station_overlap,1,17,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
043(원당역),unresolved_no_station_overlap,1,26,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
046,unresolved_no_station_overlap,1,55,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
047,unresolved_no_station_overlap,1,31,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
048,unresolved_no_station_overlap,1,32,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
051A,unresolved_no_station_overlap,0,11,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
051B,unresolved_no_station_overlap,0,17,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
052A,unresolved_no_station_overlap,0,53,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
052B,unresolved_no_station_overlap,0,10,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
053,unresolved_no_station_overlap,6,51,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
054,unresolved_no_station_overlap,3,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
055,linked_unique_route_id,11,95,9,284,208,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
056,linked_unique_route_id,7,64,11,194,97,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
057,unresolved_no_station_overlap,6,29,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
059,unresolved_no_station_overlap,6,33,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
060,unresolved_no_station_overlap,10,54,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
062A,unresolved_no_station_overlap,0,32,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
062B,unresolved_no_station_overlap,0,36,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
064,unresolved_no_station_overlap,2,17,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
065,unresolved_no_station_overlap,5,56,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
066,linked_unique_route_id,5,67,10,250,125,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
066A,unresolved_no_station_overlap,0,56,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
067,linked_unique_route_id,3,7,1,75,75,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
068,unresolved_no_station_overlap,3,30,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
069,unresolved_no_station_overlap,2,20,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
070A,unresolved_no_station_overlap,2,52,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
070B,unresolved_no_station_overlap,2,49,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
071,unresolved_no_station_overlap,7,50,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
072A,unresolved_no_station_overlap,0,39,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
072B,unresolved_no_station_overlap,0,12,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
074,unresolved_no_station_overlap,3,43,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
075A,unresolved_no_station_overlap,0,58,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
075B,unresolved_no_station_overlap,0,61,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
077A,unresolved_no_station_overlap,1,54,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
077B,unresolved_no_station_overlap,0,32,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
078,unresolved_no_station_overlap,5,67,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
079,unresolved_no_station_overlap,3,68,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
088,unresolved_no_station_overlap,12,59,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
090,linked_unique_route_id,9,68,9,296,139,상행|하행,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
091A,unresolved_no_station_overlap,0,39,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
091B,unresolved_no_station_overlap,0,34,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
092,unresolved_no_station_overlap,7,12,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
093,unresolved_no_station_overlap,4,18,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
094,unresolved_no_station_overlap,4,17,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
097,unresolved_no_station_overlap,4,47,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
098,unresolved_no_station_overlap,5,35,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
099,unresolved_no_station_overlap,9,43,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
15-1(구파발),unresolved_no_station_overlap,6,16,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
15-1(지축),unresolved_no_station_overlap,6,13,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
15A,unresolved_no_station_overlap,0,13,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
15B,unresolved_no_station_overlap,0,13,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
N001,unresolved_no_station_overlap,0,19,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
N002,unresolved_no_station_overlap,0,32,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
N003,unresolved_no_station_overlap,0,8,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
N005,unresolved_no_station_overlap,0,58,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
N007,unresolved_no_station_overlap,0,54,0,0,0,,2023-09-25,2023-09-26,2025-08-25,2023 BMS 노선번호 후보 중 2025 고양 정류장ID와 실제 교집합이 있는 유일 노선ID만 연결했다. 교집합이 없거나 동률이면 연결하지 않았다.
