routeName,normalizedRouteNumber,matchStatus,candidateCount,officialRouteNumbers,officialOperators,officialHeadwayTexts,officialOrigins,officialDestinations,servingStopCount,routeMentionCount,headwaySnapshotDate,stopSnapshotDate,artifactSchemaVersion,analysisId,limitation
022A,22A,matched_unique,1,022A,(주)보람운수,35~40,난점마을(현천5동),화전역,54,54,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
022B,22B,matched_unique,1,022B,(주)보람운수,20~30,덕은 LH 1단지,DMC 해링턴플레이스,32,32,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
023,23,matched_unique,1,023(032번과 통합),(주)보람운수,10~20,"서정마을6,9단지",화정역,35,35,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
024A,24A,matched_unique,1,024A,(주)보람운수,13~18(15~20),행신역,원흥역(8번출구),46,46,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
024B,24B,matched_unique,1,024B,(주)보람운수,35~40,행신역,원흥역(8번출구),34,34,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
025,25,matched_unique,1,25,관산운수㈜,15~17,삼송역8번출구,고골종점,57,57,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
026,26,matched_unique,1,26,관산운수㈜,25~30,국제법률대학교대학원,삼송역,61,61,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
027,27,matched_unique,1,27,(주)화정교통,07,화정역,달빛2단지관리사무소,19,19,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
028,28,matched_unique,1,28,(주)화정교통,07,화정역,달빛1단지,12,12,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
029A,29A,matched_unique,1,029A,(주)화정교통,15~20,명지병원,화정역,9,9,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
029B,29B,matched_unique,1,029B,(주)화정교통,20~30,능곡역,원당역,45,45,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
030,30,matched_unique,1,30,(주)보람운수,40~60,강고산,화정역,39,39,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
031,31,matched_unique,1,31,보은교통㈜,10~20,화정역3호선,화정역,9,9,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
033,33,matched_unique,1,33,(주)여산교통,15~18,중부대학교,원신동주민센터(신원교),79,79,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
035,35,matched_unique,1,35,(주)보람운수,30,행신역,원당역,39,39,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
036,36,matched_unique,1,36,관산운수㈜,50~60,더퍼스트프라임,오미산주유소,69,69,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
037,37,matched_unique,1,37,관산운수㈜,10~15,삼송역 8번출구,파주동문아파트,62,62,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
040,40,matched_unique,1,40,홍성㈜,15~20,신원8단지/신원초교,삼송역,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
041B,41B,matched_unique,1,041B,홍성㈜,20~30,신원마을10단지,삼송역,13,13,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
042,42,matched_unique,1,42,홍성㈜,50~70,호반22단지 정문,호반22단지 정문,69,69,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
043,43,matched_unique,1,43,홍성㈜,30,원흥역,원흥역,17,17,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
043(원당역),43,matched_unique,1,43,홍성㈜,30,원흥역,원흥역,26,26,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
046,46,matched_unique,1,46,홍성㈜,12~20,이케아 고양점,동산마을 24단지 후문,55,55,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
047,47,matched_unique,1,47,홍성㈜,15~30,신원7단지,원흥역1번출구,31,31,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
048,48,matched_unique,1,48,홍성㈜,15~20,신원초교/신원8단지,동산21단지,32,32,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
051A,51A,matched_unique,1,051A,(주)여산교통,20~30,푸른마을(동익아파트),애덕의집,11,11,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
051B,51B,matched_unique,1,051B,(주)여산교통,60,고양초교,부대앞(선유동),17,17,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
052A,52A,matched_unique,1,052A,(주)여산교통,12~15,푸른마을10단지,지축역,53,53,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
052B,52B,matched_unique,1,052B,(주)여산교통,30(20),지축역,부대앞(백운아파트),10,10,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
053,53,matched_unique,1,53,(주)여산교통,08~10,푸른마을 10단지,하나로마트(삼송역),51,51,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
054,54,matched_unique,1,54,(주)보람운수,25,덕은 LH 1단지,DMC 2번출구,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
055,55,matched_multiple_candidates,2,55|055(통합),서울여객㈜|(주)여산교통,25~30|30(40~50),대화공영차고지|삼성아파트(1군단),고봉동행정복지센터|푸른마을 10단지,95,95,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
056,56,matched_unique,1,56,대화교통,09~13,웨인스코트호텔,백신초교,64,64,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
057,57,matched_multiple_candidates,2,57|57,서울여객㈜|대화교통,40~60|06~10(08~11),"대화공영차고지|가좌마을,킨스벽산A516동",불광역|일산동구청,29,29,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
059,59,matched_unique,1,59,관산운수㈜,45~60,대화역,송산15통마을회관,33,33,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
060,60,matched_unique,1,60,한진교통㈜,10~15,"소만1,2,3 단지",화정역,54,54,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
062A,62A,matched_unique,1,062A,대화교통,08~09,"더샵그라비스타,이마트킨텍스점","더샵그라비스타, 이마트 킨텍스점",32,32,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
062B,62B,matched_unique,1,062B,대화교통,25,킨텍스원시티2단지,킨텍스원시티2단지,36,36,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
064,64,matched_unique,1,64,(주)보람운수,40~45,난점마을(현천5동),DMC역(중),17,17,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
065,65,matched_multiple_candidates,2,65|65,명성운수㈜|대림교통㈜,20~30|10~15,"교하차고지|서정마을2,4단지",현대백화점(신촌전철역쪽)|화정역,56,56,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
066,66,matched_multiple_candidates,2,66|66,명성운수㈜|신일산교통,11~14(16~18)|10~12,교하차고지|성석동차고지,"모래내시장,가좌역(중)|밤가시마을",67,67,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
066A,66A,matched_unique,1,066A,신일산교통,13~15,성석동차고지,주엽역,56,56,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
067,67,matched_multiple_candidates,2,67|67,명성운수㈜|신일산운수 주식회사,15~20|15~20,교하차고지|장항지구(장항행복주택아파트),화정역|마두역,7,7,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
068,68,matched_unique,1,68,신일산운수 주식회사,20~27,장항지구(장항행복주택아파트),일산병원,30,30,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
069,69,matched_multiple_candidates,2,69|69,(주)백마운수|신일산운수 주식회사,18~20(20~40)|30~40,둥지마을베송쥬쥬|신평동(SK주유소),화정역 3호선|능곡역,20,20,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
070A,70A,matched_unique,1,070A,(주)부광운수,15~20,청원네이처빌,마두역,52,52,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
070B,70B,matched_unique,1,070B,(주)부광운수,25~30,청원네이처빌,마두역,49,49,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
071,71,matched_unique,1,71,명보교통㈜,40~60,탄현역,"가좌동, 구종점",50,50,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
072A,72A,matched_unique,1,072A,명보교통㈜,40~60,화정역,산황동,39,39,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
072B,72B,matched_unique,1,072B,명보교통㈜,15~30,능곡역,대곡역,12,12,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
074,74,matched_unique,1,74,명보교통㈜,10~20,덕이하이파크시티1단지,킨텍스원시티2단지,43,43,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
075A,75A,matched_unique,1,075A,홍성㈜,15~20(15~30),고양중학교,DMC역,58,58,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
075B,75B,matched_unique,1,075B,홍성㈜,20~30,통일로IC(세원마을입구),DMC역,61,61,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
077A,77A,matched_unique,1,077A,주원교통㈜,12~15,대자동(세원마을 입구),호반22단지 정문,54,54,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
077B,77B,matched_unique,1,077B,주원교통㈜,30,삼송역,사기막골,32,32,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
078,78,matched_unique,1,78,(주)부광운수,11,고봉산삼거리,고봉산삼거리,67,67,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
079,79,matched_unique,1,79,명보교통㈜,90,일산역,두신마을,68,68,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
088,88,matched_unique,1,88,관산운수㈜,25,내유동커뮤니티센터,삼송역,55,55,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
090,90,matched_unique,1,90,신일산운수 주식회사,09~12,성석동차고지,하늘마을,64,64,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
091A,91A,matched_unique,1,091A,신일산운수 주식회사,18~23,성석동차고지,GIFC 타워,39,39,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
091B,91B,matched_unique,1,091B,신일산운수 주식회사,12~17,강선마을13단지,일산에듀포레푸르지오후문 ,34,34,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
092,92,matched_unique,1,92,신일산운수 주식회사,20~30,에듀포레푸르지오아파트,탄현역,12,12,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
093,93,matched_unique,1,93,주원교통㈜,10~12,신원2단지후문,스타필드 후문,18,18,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
094,94,matched_unique,1,94,주원교통㈜,30~40,삼송역,오금동종점,17,17,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
097,97,matched_multiple_candidates,2,97|97,고양교통㈜|㈜성우교통,15~20(55~60)|15~18,김포대학|식사동,행신역|원당역,47,47,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
098,98,matched_multiple_candidates,2,98|98,(주)백마운수|㈜성우교통,13~15|13~16,위시티1단지후문.양일초교|데이앤뷰1단지,현대백화점|롯데백화점,35,35,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
099,99,matched_multiple_candidates,2,99|99,(주)백마운수|㈜성우교통,12~15(15~28)|10~12,"약산마을|위시티1,2단지",빛마루.EBS|원당역,43,43,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
15-1(구파발),15-1,unresolved_no_candidate,0,,,,,,16,16,2024-12-31,2025-08-25,1.0.0,official_bus_headway_bms_crosscheck_v1,"공식 배차간격 원문은 자유기술 계획값이다. 시간대·요일 의미를 임의 분해하지 않았고, 복수 후보는 업체·노선ID 확인 전 단일값으로 선택하지 않는다."
