claim_id,claim,poster_value,reproduced_value,status,evidence_level,note,status_group
M-02,포스터 후보 8개 집합,"고양동, 행주동, 가좌동, 관산동, 주교동, 능곡동, 효자동, 송포동","가좌동, 고양동, 관산동, 능곡동, 송포동, 주교동, 행주동, 효자동",후보집합 일치·순서 불일치,A2,Jaccard=1.000; 후보8개 글로벌 순위 MAE=2.00,조건부
V1-01,Back-test Precision@3 / Recall@3,0.33 / 0.33,0.33 / 0.33,대리모형 비교,A2,현행지 선정 이후 시점 데이터이므로 예측력 검증이 아님,조건부
V1-02,현행 DRT 3동 글로벌 DSS 순위,"고봉동 1위, 화전동 22위, 식사동 27위","고봉동 1위, 화전동 29위, 식사동 34위",1개 일치·2개 불일치,A2,고봉동은 1위 일치; 화전동과 식사동은 각각 포스터보다 7계단 낮음,수정·명세 보완
V5-01,DSS 가중치 4세트 상위 8 Jaccard,1.0,0.6,재현 불일치,A2,포스터의 실제 4세트가 미공개라 명시한 스트레스 세트로 검증,수정·명세 보완
M-03,검토한 RI·CAG beta 시나리오의 p값 동시 재현,"RI p=.078, CAG p=.965","beta=.10: RI p=0.07762; beta=.13: CAG p=0.96512, RI p=0.10722",검토 7개 시나리오에서 동시 재현 없음,A2,"동일가중·직선보행의 7개 beta 검토점에서 beta=.10은 RI p값, 결과를 보고 찾은 beta=.13은 CAG p값을 각각 재현; beta 전체공간에 대한 증명은 아님",수정·명세 보완
M-04,후보8개 CAG 값,후보표 8개 값,"beta=.13 평균절대차 0.016, p=0.96512",근접 재현·완전일치 아님,A2,CAG는 z표준화로 RI의 공통척도에 불변; 결과를 본 후 beta를 찾은 명세 역추적이므로 독립 검증으로 보지 않음,조건부
M-05,후보 8개 DSS 표시값,후보표 8개 값,"MAE=0.174, 최대절대차=0.274, r=0.542",불일치,A2,후보 집합은 같아도 DSS 값과 내부 순서는 재현되지 않음,수정·명세 보완
STAT-01,현행 3 vs 나머지 41 Mann-Whitney 모두 p>0.05,5/5 p>0.05,5/5,수치 비교 가능·해석 주의,A2,p>0.05는 두 그룹이 같다는 증거가 아님; n=3으로 검정력이 매우 낮음,조건부
STAT-02,Moran's I,0.475 (p<.001),0.296 (p=0.0007),대리모형 불일치,A2,"queen 인접·9,999회·seed42. 포스터의 W/순열수 미기재",조건부
STAT-03,비효율도-거점분산도 상관,0.93,0.9310782241014798,대리모형 비교,A2,Spearman p=5.303e-20; 구성요소 중복 위험 확인용,조건부
STAT-04,LISA HH 관산·원신·성사1,"관산동, 원신동, 성사1동",관산동,대리모형 비교,A2,"관측지 z_i 고정 조건부 순열 9,999회; simulation mean 중심 양측 p; 44개 p에 Benjamini-Hochberg FDR 보정",조건부
TXT-01,후보 8곳 중 고령화율>=19.4%이고 노선/정류장<3.8,6곳,4곳,직접 산술 불일치,A1,포스터 후보표 자체 값으로는 행주·가좌·주교·능곡 4곳,수정·명세 보완
SCOPE-01,고양온돌 2.9만 명×62개 서비스 도달성,분석했다는 서사,일반 고령인구×병의원·약국 대리분석,구성개념 불일치,A3,2.9만 대상자 좌표와 62개 서비스 거점 좌표를 입력에 사용하지 않음,수정·명세 보완
TIME-01,입력자료 기준시점 정합성,2026년 접근성 진단,인구·시설 2026-06-30 / 경계 2026-04-01 / 버스 2025-08-25,혼합시점 해석 제한,A1,버스 공급 자료가 인구·시설보다 약 10개월 선행하므로 2026년 동시점 접근성으로 단정할 수 없음,수정·명세 보완
